Group	Project	BugID	# of project distinct tokens	# of distinct tokens	# of distinct code entities	Enumeration(Bool)	StackTrace(Bool)	CodeRegions(Bool)	CodeEntity(Bool)	DistinctTokens/ProjectTokens	DistinctCodeEntities/ProjectTokens	CodeRelevancy (Product)	CodeRelevancy (Min)	CodeRelevancy (Max)	CodeRelevancy (Mean)	CodeRelevancy (FileCount))	CodeRelevancy (InverseFileCount)
Apache	HBASE	9076	7376	29	2	0	0	1	0	0.00393167028199566202	0.00027114967462039046	0.00000000000000000000	0.00036845983787767134	0.09090909090909091161	0.00940532530771972380	2714	0.00036845983787767134
Apache	HBASE	3920	7376	19	2	0	0	1	0	0.00257592190889370954	0.00027114967462039046	0.00000000000000000000	0.00036900369003690036	0.20000000000000001110	0.02348650158937390028	2714	0.00036845983787767134
Apache	HBASE	1718	7376	24	1	0	0	1	0	0.00325379609544468535	0.00013557483731019523	0.00000000000000000000	0.00037133308577794280	0.20000000000000001110	0.02161311079119816736	2714	0.00036845983787767134
Apache	HBASE	14178	7376	97	55	0	0	1	0	0.01315075921908893768	0.00745661605206073778	0.00000000000000000000	0.00036845983787767134	1.00000000000000000000	0.14949737965140355578	2714	0.00036845983787767134
Apache	HBASE	16076	7376	59	1	0	0	1	1	0.00799891540130151860	0.00013557483731019523	0.00000000000000000000	0.00036845983787767134	1.00000000000000000000	0.05945255030272477564	2714	0.00036845983787767134
Apache	HBASE	16074	7376	43	1	0	0	1	0	0.00582971800433839445	0.00013557483731019523	0.00000000000000000000	0.00037993920972644377	0.50000000000000000000	0.05542221455128657631	2714	0.00036845983787767134
Apache	HBASE	13737	7376	35	0	1	0	0	0	0.00474511930585683282	0.00000000000000000000	0.00000000000000000000	0.00036900369003690036	1.00000000000000000000	0.04075135296902723109	2713	0.00036859565057132326
Apache	HBASE	6529	7376	25	4	0	0	1	0	0.00338937093275488077	0.00054229934924078093	0.00000000000000000000	0.00036900369003690036	0.25000000000000000000	0.03315779145785736209	2714	0.00036845983787767134
Apache	HBASE	13734	7376	31	1	1	0	1	0	0.00420281995661605200	0.00013557483731019523	0.00000000000000000000	0.00037133308577794280	1.00000000000000000000	0.06903573580032135171	2714	0.00036845983787767134
Apache	HBASE	14079	7376	94	55	0	1	1	0	0.01274403470715835054	0.00745661605206073778	0.00000000000000000000	0.00036845983787767134	1.00000000000000000000	0.07845151236880883172	2714	0.00036845983787767134
